model_id,base_model,relationship type,Source,Criteria
01-ai/Yi-6B,,NONE,paper,
01-ai/Yi-6B-200K,,NONE,paper,
01-ai/Yi-6B-Chat,,NONE,paper,
AdaptLLM/medicine-LLM,,NONE,paper,
AiMavenAi/AiMaven-Prometheus,,NONE,,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,FT,paper,
BioMistral/BioMistral-7B,,,paper,
BioMistral/BioMistral-7B-DARE,"BioMistral/BioMistral-7B, mistralai/Mistral-7B-Instruct-v0.1",merge,paper,
Biomimicry-AI/ANIMA-Nectar-v2,,,paper,
ByteDance-Seed/Seed-Coder-8B-Base,,,,
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,FT,paper,
ChrisMcCormick/deepseek-tiny-v0.1,,,paper,
CorticalStack/pastiche-crown-clown-7b-dare,,,,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,FT,paper,
CultriX/NeuralTrix-7B-dpo,"mlabonne/OmniBeagle-7B, AiMavenAi/AiMaven-Prometheus, flemmingmiguel/MBX-7B-v3",merge,,
CultriX/NeuralTrix-bf16,CultriX/NeuralTrix-7B-dpo,merge,paper,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,,,paper,
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,FT,paper,
EleutherAI/gpt-neo-1.3B,,,paper,
EleutherAI/polyglot-ko-3.8b,,,paper,
EleutherAI/pythia-1.4b,,,paper,
EleutherAI/pythia-1b,,,paper,
EleutherAI/pythia-2.8b,,,paper,
EleutherAI/pythia-6.9b,,,paper,
FelixChao/Sectumsempra-7B-DPO,,,,
FelixChao/vicuna-7B-chemical,,,paper,
FelixChao/vicuna-7B-physics,,,paper,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,FT,,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,FT,,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,FT,paper,
HuggingFaceTB/SmolLM-135M,,,paper,
HuggingFaceTB/SmolLM2-135M,,,paper,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,FT,paper,
HuggingFaceTB/SmolLM3-3B-Base,,,,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,"google/gemma-2-2b, google/gemma-2-2b-it",FT,,
Intel/neural-chat-7b-v3-1,mistralai/Mistral-7B-v0.1,FT,,
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,FT,paper,
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,FT,,
KoboldAI/GPT-Neo-2.7B-Horni-LN,,,paper,
LGAI-EXAONE/EXAONE-4.0-1.2B,,,paper,
LiquidAI/LFM2-1.2B,,,paper,
LiquidAI/LFM2-350M,,,paper,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,FT,,
Nexusflow/Starling-LM-7B-beta,,,paper,
NinedayWang/PolyCoder-2.7B,,,paper,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Meta-Llama-3.1-8B,FT,,
PharMolix/BioMedGPT-LM-7B,,,paper,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,,,
PygmalionAI/pygmalion-2.7b,,,paper,
Qwen/Qwen1.5-0.5B-Chat,,,paper,
Qwen/Qwen1.5-4B-Chat,,,paper,
Qwen/Qwen2-0.5B,,,,
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,,paper,
Qwen/Qwen2-7B,,,,
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,,paper,
Qwen/Qwen2.5-0.5B,,,,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,,paper,
Qwen/Qwen2.5-1.5B,,,paper,
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,,paper,
Qwen/Qwen2.5-3B,,,,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,,paper,
Qwen/Qwen2.5-7B,,,paper,
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,,paper,
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,,,
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,,,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,,paper,
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,,paper,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,,,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,,paper,
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-7B,,,
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,,paper,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,,paper,
Qwen/Qwen3-0.6B-Base,,,,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,,paper,
Qwen/Qwen3-1.7B-Base,,,,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,,paper,
Qwen/Qwen3-4B-Base,,,,
Qwen/Qwen3-4B-Instruct-2507,,,paper,
Qwen/Qwen3-4B-Thinking-2507,,,paper,
