base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,1242781,1001,5,0.004,2000,"[0.0045, 0.0035, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,1242781,78,5,0.0038,2000,"[0.0045, 0.0035, 0.0035, 0.004, 0.0035]"
Qwen/Qwen2.5-0.5B,Edentns/DataVortexTL-1.1B-v0.1,1242781,66,5,0.0042,2000,"[0.0035, 0.0035, 0.003, 0.006, 0.005]"
Qwen/Qwen2.5-0.5B,ShieldX/manovyadh-1.1B-v1-chat,1242781,65,5,0.0033,2000,"[0.0045, 0.0025, 0.003, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,frankenmerger/MiniLlama-1.8b-Chat-v0.1,1242781,42,5,0.0034,2000,"[0.0035, 0.003, 0.0025, 0.0045, 0.0035]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyParlaMintLlama-1.1B,1242781,39,5,0.0034,2000,"[0.0035, 0.003, 0.0035, 0.004, 0.003]"
Qwen/Qwen2.5-0.5B,anudaw/distilled-code-llama,1242781,20,5,0.0038,2000,"[0.003, 0.004, 0.0035, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,yzhuang/phi-1_5_fictional,1242781,19,5,0.0041,2000,"[0.0045, 0.004, 0.003, 0.0035, 0.0055]"
Qwen/Qwen2.5-0.5B,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,1242781,15,5,0.004,2000,"[0.0025, 0.0035, 0.0035, 0.0065, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,1242781,15,5,0.0036,2000,"[0.0045, 0.0025, 0.0025, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,1242781,13,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,azam25/TinyLlama_instruct_generation,1242781,11,5,0.0039,2000,"[0.0045, 0.003, 0.003, 0.005, 0.004]"
Qwen/Qwen2.5-0.5B,adsazad/test_trainer,1242781,11,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,1242781,11,5,0.0036,2000,"[0.005, 0.002, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,1242781,11,5,0.0038,2000,"[0.0055, 0.002, 0.003, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional,1242781,10,5,0.0035,2000,"[0.0025, 0.003, 0.004, 0.0055, 0.0025]"
