model_id,page,base_model,filter,sort,extracted_at
jinaai/jina-reranker-v3,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
opendatalab/MinerU-HTML,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Code-Expert,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
qualifire/prompt-injection-jailbreak-sentinel-v2,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
litert-community/Qwen3-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
unsloth/Qwen3-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
huihui-ai/Huihui-Qwen3-0.6B-abliterated-v2,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
sarthakrastogi/narasimha-b-0.6b,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
MemTensor/MemOperator-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Qwen/Qwen3Guard-Gen-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
burtenshaw/qwen3-0.6b-codeforces-sft,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
burtenshaw/qwen3-codeforces-cots-sft-codex,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
embedl/Qwen3-0.6B-FlashHead,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
StaAhmed/qwen_med,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
lmstudio-community/Qwen3-0.6B-MLX-bf16,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
mlx-community/Qwen3-0.6B-bf16,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
DuongTrongChi/qwen-v1-sft,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
mlabonne/Qwen3-0.6B-abliterated,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Goekdeniz-Guelmez/Josiefied-Qwen3-0.6B-abliterated-v1,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
huihui-ai/Qwen3-0.6B-abliterated,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
dnotitia/Smoothie-Qwen3-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
AXERA-TECH/Qwen3-0.6B,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
saneowl/qwen3_0.6b_0-1000,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
chungimungi/Qwen3-0.6B-ms-marco,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
OpenVINO/Qwen3-0.6B-fp16-ov,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Echo9Zulu/Qwen3-0.6B-fp16-ov,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
XformAI-india/qwen-0.6b-mentalhealth-support,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
XformAI-india/qwen-0.6b-coder,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Pelmeshek/qwen3-0.6B-function-calling-lora,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
cnmoro/Qwen3-0.6B-Portuguese-Tokenizer,p=0,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
mlx-community/Qwen3-0.6B-4bit-AWQ,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
giacomosardo/output_dir,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
