model_id,base_model,relationship_type,Source,Repo Size (GB),Downloaded on rcs-hdd,Criteria,Comment,,,
01-ai/Yi-6B,NONE,NONE,paper,,TRUE,,,,,
01-ai/Yi-6B-200K,NONE,NONE,paper,,TRUE,,,,,
01-ai/Yi-6B-Chat,NONE,NONE,paper,,TRUE,,,,,
AdaptLLM/medicine-LLM,NONE,NONE,paper,,TRUE,,,,,
AiMavenAi/AiMaven-Prometheus,NONE,NONE,,,TRUE,,,,,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,finetune,paper,,TRUE,,,,finetunes,"merges, quantized, adapters"
BioMistral/BioMistral-7B,NONE,NONE,paper,,TRUE,,,,76,11
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B; mistralai/Mistral-7B-Instruct-v0.1,merge,paper,,TRUE,,,,,
Biomimicry-AI/ANIMA-Nectar-v2,NONE,NONE,paper,,TRUE,,,,,
ByteDance-Seed/Seed-Coder-8B-Base,NONE,NONE,,,TRUE,,,,,
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,finetune,paper,,TRUE,,,,,
ChrisMcCormick/deepseek-tiny-v0.1,NONE,NONE,paper,,TRUE,,,,,
CorticalStack/pastiche-crown-clown-7b-dare,NONE,NONE,,,TRUE,,,,,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,finetune,paper,,TRUE,,,,,
CultriX/NeuralTrix-7B-dpo,mlabonne/OmniBeagle-7B; AiMavenAi/AiMaven-Prometheus; flemmingmiguel/MBX-7B-v3,merge,,,TRUE,,,,,
CultriX/NeuralTrix-bf16,CultriX/NeuralTrix-7B-dpo,merge,paper,,TRUE,,,,,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,NONE,NONE,paper,,TRUE,,,,,
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,finetune,paper,,TRUE,,,,,
EleutherAI/gpt-neo-1.3B,NONE,NONE,paper,,TRUE,,,,,
EleutherAI/polyglot-ko-3.8b,NONE,NONE,paper,,TRUE,,,,,
EleutherAI/pythia-1.4b,NONE,NONE,paper,,TRUE,,,,,
EleutherAI/pythia-1b,NONE,NONE,paper,,TRUE,,,,,
EleutherAI/pythia-2.8b,NONE,NONE,paper,,TRUE,,,,,
EleutherAI/pythia-6.9b,NONE,NONE,paper,,TRUE,,,,,
FelixChao/Sectumsempra-7B-DPO,NONE,NONE,,,TRUE,,,,,
FelixChao/vicuna-7B-chemical,NONE,NONE,paper,,TRUE,,,,,
FelixChao/vicuna-7B-physics,NONE,NONE,paper,,TRUE,,,,,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,finetune,,,TRUE,,,,,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,finetune,paper,,TRUE,,,,,
HuggingFaceTB/SmolLM-135M,NONE,NONE,paper,,TRUE,,,,,
HuggingFaceTB/SmolLM2-135M,NONE,NONE,paper,,TRUE,,,,,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,finetune,paper,,TRUE,,,,,
HuggingFaceTB/SmolLM3-3B-Base,NONE,NONE,,,TRUE,,,,,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b; google/gemma-2-2b-it,finetune,,,TRUE,,Interesting that this model has two base models but is not a merged model,,,
Intel/neural-chat-7b-v3-1,mistralai/Mistral-7B-v0.1,finetune,,,TRUE,,,,,
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,finetune,paper,,TRUE,,,,,
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
KoboldAI/GPT-Neo-2.7B-Horni-LN,NONE,NONE,paper,,TRUE,,,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,NONE,NONE,paper,,TRUE,,,,,
LiquidAI/LFM2-1.2B,NONE,NONE,paper,,TRUE,,,,,
LiquidAI/LFM2-350M,NONE,NONE,paper,,TRUE,,,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,finetune,,,TRUE,,,,,
Nexusflow/Starling-LM-7B-beta,NONE,NONE,paper,,TRUE,,,,,
NinedayWang/PolyCoder-2.7B,NONE,NONE,paper,,TRUE,,,,,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
PharMolix/BioMedGPT-LM-7B,NONE,NONE,paper,,TRUE,,,,,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,finetune,,,TRUE,,,,,
PygmalionAI/pygmalion-2.7b,NONE,NONE,paper,,TRUE,,,,,
Qwen/Qwen1.5-0.5B-Chat,NONE,NONE,paper,,TRUE,,,,,
Qwen/Qwen1.5-4B-Chat,NONE,NONE,paper,,TRUE,,,,,
Qwen/Qwen2-0.5B,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2-7B,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-0.5B,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-1.5B,NONE,NONE,paper,,TRUE,,,,,
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-3B,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-7B,NONE,NONE,paper,,TRUE,,,,,
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,finetune,paper,,TRUE,,,,,
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-7B,finetune,,,TRUE,,,,,
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,finetune,paper,,TRUE,,,,,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,finetune,paper,,TRUE,,,,,
Qwen/Qwen3-0.6B-Base,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,finetune,paper,,TRUE,,,,,
Qwen/Qwen3-1.7B-Base,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,finetune,paper,,TRUE,,,,,
Qwen/Qwen3-4B-Base,NONE,NONE,,,TRUE,,No known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
Qwen/Qwen3-4B-Instruct-2507,NONE,NONE,paper,,TRUE,,Are these not instruction fine-tuned from a base Qwen model?,,,
