base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.6,0.0,0.062054,0.051878,0.037977
Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.6,0.0,0.013758,0.009346,0.007701
lemon-mint/Qwen2-0.5B-Ko-v0.01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.022959,0.005187,0.009382
dphn/dolphin-2.9.3-qwen2-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.095399,0.030125,0.041841
amy011872/LawToken-0.5B-a2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.022289,0.045467,0.022585
amy011872/LawToken-0.5B-baseline,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.0,0.0,0.0
trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.027907,0.009756,0.012554
yangzhao02/qwen2-0.5b-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.024959,0.0,0.00832
bnm8901/humanizerAI_0.5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.143566,0.016523,0.053363
CoolSpring/Qwen2-0.5B-Abyme,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.012113,0.022378,0.011497
MaxwellJryao/sft_P3_full-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.100121,0.127083,0.075735
TitanML/Qwen2-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.6,0.0,0.062054,0.051878,0.037977
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.073011,0.092997,0.055336
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.004023,0.008006,0.00401
lchen915/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.023135,0.01802,0.013719
summerstay/models-moved,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.110906,0.134484,0.081797
willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.302931,0.343712,0.215548
