model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,Qwen-7B,8,1,1,0.125,1.0,Qwen/Qwen2-7B,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,10,8,9,0.8,0.888889,Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,Qwen-3B,7,2,2,0.285714,1.0,PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-3B,
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,10,8,9,0.8,0.888889,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,13,4,4,0.307692,1.0,acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1-8B,14,11,14,0.785714,0.785714,aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8 | nvidia/OpenMath2-Llama3.1-8B
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen-1.5B,9,5,13,0.555556,0.384615,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Coder-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,Qwen-7B,10,8,9,0.8,0.888889,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,Qwen-7B,9,7,9,0.777778,0.777778,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B | nvidia/OpenCodeReasoning-Nemotron-1.1-7B
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,Qwen-7B,3,1,9,0.333333,0.111111,Qwen/Qwen2.5-7B,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen-1.5B,4,2,13,0.5,0.153846,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,8,4,4,0.5,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B,15,11,14,0.733333,0.785714,NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8 | nvidia/OpenMath2-Llama3.1-8B
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,Llama-3.1-8B,17,12,14,0.705882,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,Qwen-3B,5,2,2,0.4,1.0,Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct,
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B,Llama-3.1-8B,14,11,14,0.785714,0.785714,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8 | nvidia/OpenMath2-Llama3.1-8B
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,Llama-3.2-1B,11,1,1,0.090909,1.0,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,Qwen-1.5B,6,3,13,0.5,0.230769,Qwen/Qwen2.5-Math-1.5B | Writer/palmyra-mini | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,Qwen2.5-Coder,2,0,1,0.0,0.0,,Qwen/Qwen2.5-Coder-0.5B
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,Gemma-2-2B,3,3,3,1.0,1.0,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b | google/gemma-2-2b-it,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen-1.5B,11,5,13,0.454545,0.384615,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B,18,12,14,0.666667,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,10,8,9,0.8,0.888889,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,Qwen-0.5B,3,1,1,0.333333,1.0,Qwen/Qwen2.5-0.5B-Instruct,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B,Llama-3.1-8B,20,11,14,0.55,0.785714,aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B | meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,10,8,9,0.8,0.888889,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1-8B,16,12,14,0.75,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,10,4,4,0.4,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,Llama-3.1-8B,20,12,14,0.6,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,Llama-3.1-8B,15,12,14,0.8,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8 | nvidia/OpenMath2-Llama3.1-8B
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,Qwen-1.5B,15,6,13,0.4,0.461538,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | SakanaAI/TinySwallow-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,Qwen3-1.7B,2,1,1,0.5,1.0,Qwen/Qwen3-1.7B,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,Qwen-1.5B,13,7,13,0.538462,0.538462,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | SakanaAI/TinySwallow-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen-1.5B,12,6,13,0.5,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
