index,model_id,cluster_id,family,cluster_size_json,cluster_size_clean,base_model,in_llm_dna_305
1,01-ai/Yi-6B,28,Yi-6B,1,1,,true
2,01-ai/Yi-6B-200K,29,Yi-6B-200K,1,1,,true
3,01-ai/Yi-6B-Chat,30,Yi-6B-Chat,1,1,,true
4,AdaptLLM/medicine-LLM,31,medicine-LLM,1,1,,true
5,AiMavenAi/AiMaven-Prometheus,32,AiMaven-Prometheus,1,1,,false
6,Aurore-Reveil/Koto-Small-7B-IT,9,MiMo-7B-Base,3,3,allura-org/Koto-Small-7B-PT,true
7,BioMistral/BioMistral-7B,15,BioMistral-7B,2,2,,true
8,BioMistral/BioMistral-7B-DARE,15,BioMistral-7B,2,2,BioMistral/BioMistral-7B,true
9,Biomimicry-AI/ANIMA-Nectar-v2,33,ANIMA-Nectar-v2,1,1,,true
10,ByteDance-Seed/Seed-Coder-8B-Base,16,Seed-Coder-8B-Base,2,2,,false
11,ByteDance-Seed/Seed-Coder-8B-Instruct,16,Seed-Coder-8B-Base,2,2,ByteDance-Seed/Seed-Coder-8B-Base,true
12,ChrisMcCormick/deepseek-tiny-v0.1,34,deepseek-tiny-v0.1,1,1,,true
13,CorticalStack/pastiche-crown-clown-7b-dare,17,pastiche-crown-clown-7b-dare,2,2,,false
14,CorticalStack/pastiche-crown-clown-7b-dare-dpo,17,pastiche-crown-clown-7b-dare,2,2,CorticalStack/pastiche-crown-clown-7b-dare,true
15,CultriX/NeuralTrix-7B-dpo,4,UNA-TheBeagle-7b-v1,8,8,mlabonne/OmniBeagle-7B,false
16,CultriX/NeuralTrix-bf16,35,NeuralTrix-bf16,1,1,bardsai/jaskier-7b-dpo-v3.3,true
17,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,36,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,1,1,Goekdeniz-Guelmez/Josiefied-Qwen3-4B-Instruct-2507-gabliterated-v1,true
18,DeepHat/DeepHat-V1-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-Coder-7B,true
19,EleutherAI/gpt-neo-1.3B,37,gpt-neo-1.3B,1,1,,true
20,EleutherAI/polyglot-ko-3.8b,38,polyglot-ko-3.8b,1,1,,true
21,EleutherAI/pythia-1.4b,39,pythia-1.4b,1,1,,true
22,EleutherAI/pythia-1b,40,pythia-1b,1,1,,true
23,EleutherAI/pythia-2.8b,41,pythia-2.8b,1,1,,true
24,EleutherAI/pythia-6.9b,42,pythia-6.9b,1,1,,true
25,FelixChao/Sectumsempra-7B-DPO,43,Sectumsempra-7B-DPO,1,1,,false
26,FelixChao/vicuna-7B-chemical,44,vicuna-7B-chemical,1,1,,true
27,FelixChao/vicuna-7B-physics,45,vicuna-7B-physics,1,1,,true
28,Gensyn/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,false
29,Gensyn/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
30,HuggingFaceH4/zephyr-7b-beta,6,Mistral-7B-v0.1,5,5,mistralai/Mistral-7B-v0.1,true
31,HuggingFaceTB/SmolLM-135M,46,SmolLM-135M,1,1,,true
32,HuggingFaceTB/SmolLM2-135M,47,SmolLM2-135M,1,1,,true
33,HuggingFaceTB/SmolLM3-3B,18,SmolLM3-3B-Base,2,2,HuggingFaceTB/SmolLM3-3B-Base,true
34,HuggingFaceTB/SmolLM3-3B-Base,18,SmolLM3-3B-Base,2,2,,false
35,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,10,gemma-2-2b-it,3,3,google/gemma-2-2b-it,false
36,Intel/neural-chat-7b-v3-1,6,Mistral-7B-v0.1,5,5,mistralai/Mistral-7B-v0.1,false
37,Intel/neural-chat-7b-v3-3,6,Mistral-7B-v0.1,5,5,Intel/neural-chat-7b-v3-1,true
38,Jurema-br/Jurema-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
39,KoboldAI/GPT-Neo-2.7B-Horni-LN,48,GPT-Neo-2.7B-Horni-LN,1,1,,true
40,LGAI-EXAONE/EXAONE-4.0-1.2B,49,EXAONE-4.0-1.2B,1,1,,true
41,LiquidAI/LFM2-1.2B,50,LFM2-1.2B,1,1,,true
42,LiquidAI/LFM2-350M,51,LFM2-350M,1,1,,true
43,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,5,Llama-3.2-3B-Instruct,6,6,meta-llama/Llama-3.2-3B-Instruct,false
44,Nexusflow/Starling-LM-7B-beta,52,Starling-LM-7B-beta,1,1,,true
45,NinedayWang/PolyCoder-2.7B,53,PolyCoder-2.7B,1,1,,true
46,NousResearch/Hermes-3-Llama-3.1-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
47,PharMolix/BioMedGPT-LM-7B,54,BioMedGPT-LM-7B,1,1,,true
48,PowerInfer/SmallThinker-3B-Preview,11,Qwen2.5-3B,3,3,Qwen/Qwen2.5-3B-Instruct,false
49,PygmalionAI/pygmalion-2.7b,55,pygmalion-2.7b,1,1,,true
50,Qwen/Qwen1.5-0.5B-Chat,56,Qwen1.5-0.5B-Chat,1,1,,true
51,Qwen/Qwen1.5-4B-Chat,57,Qwen1.5-4B-Chat,1,1,,true
52,Qwen/Qwen2-0.5B,19,Qwen2-0.5B,2,2,,false
53,Qwen/Qwen2-0.5B-Instruct,19,Qwen2-0.5B,2,2,Qwen/Qwen2-0.5B,true
54,Qwen/Qwen2-7B,20,Qwen2-7B,2,2,,false
55,Qwen/Qwen2-7B-Instruct,20,Qwen2-7B,2,2,Qwen/Qwen2-7B,true
56,Qwen/Qwen2.5-0.5B,12,Qwen2.5-0.5B,3,3,,false
57,Qwen/Qwen2.5-0.5B-Instruct,12,Qwen2.5-0.5B,3,3,Qwen/Qwen2.5-0.5B,true
58,Qwen/Qwen2.5-1.5B,3,Qwen2.5-1.5B,14,14,,true
59,Qwen/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,true
60,Qwen/Qwen2.5-3B,11,Qwen2.5-3B,3,3,,false
61,Qwen/Qwen2.5-3B-Instruct,11,Qwen2.5-3B,3,3,Qwen/Qwen2.5-3B,true
62,Qwen/Qwen2.5-7B,1,Qwen2.5-7B,17,17,,true
63,Qwen/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B,true
64,Qwen/Qwen2.5-7B-Instruct-1M,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B,false
65,Qwen/Qwen2.5-Coder-0.5B-Instruct,58,Qwen2.5-Coder-0.5B-Instruct,1,1,Qwen/Qwen2.5-Coder-0.5B,false
66,Qwen/Qwen2.5-Coder-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,false
67,Qwen/Qwen2.5-Coder-1.5B-Instruct,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-Coder-1.5B,false
68,Qwen/Qwen2.5-Coder-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B,true
69,Qwen/Qwen2.5-Coder-7B-Instruct,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-Coder-7B,true
70,Qwen/Qwen2.5-Math-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,false
71,Qwen/Qwen2.5-Math-1.5B-Instruct,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-Math-1.5B,true
72,Qwen/Qwen2.5-Math-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B,false
73,Qwen/Qwen2.5-Math-7B-Instruct,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-Math-7B,true
74,Qwen/Qwen3-0.6B,21,Qwen3-0.6B-Base,2,2,Qwen/Qwen3-0.6B-Base,true
75,Qwen/Qwen3-0.6B-Base,21,Qwen3-0.6B-Base,2,2,,false
76,Qwen/Qwen3-1.7B,7,Qwen3-1.7B-Base,5,5,Qwen/Qwen3-1.7B-Base,true
77,Qwen/Qwen3-1.7B-Base,7,Qwen3-1.7B-Base,5,5,,false
78,Qwen/Qwen3-4B,13,Qwen3-4B-Base,3,3,Qwen/Qwen3-4B-Base,true
79,Qwen/Qwen3-4B-Base,13,Qwen3-4B-Base,3,3,,false
80,Qwen/Qwen3-4B-Instruct-2507,22,Qwen3-4B-Instruct-2507,2,2,,true
81,Qwen/Qwen3-4B-Thinking-2507,8,Qwen3-4B-Thinking-2507,4,4,,true
82,Qwen/Qwen3-4B-Thinking-2507-FP8,8,Qwen3-4B-Thinking-2507,4,4,Qwen/Qwen3-4B-Thinking-2507,true
83,S4nfs/Neeto-1.0-8b,59,Neeto-1.0-8b,1,1,,true
84,SakanaAI/TinySwallow-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B-Instruct,false
85,SciPhi/SciPhi-Mistral-7B-32k,60,SciPhi-Mistral-7B-32k,1,1,,true
86,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,61,SciPhi-Self-RAG-Mistral-7B-32k,1,1,,true
87,Tesslate/UIGEN-X-4B-0729,13,Qwen3-4B-Base,3,3,Qwen/Qwen3-4B,true
88,Tesslate/WEBGEN-4B-Preview,22,Qwen3-4B-Instruct-2507,2,2,Qwen/Qwen3-4B-Instruct-2507,true
89,TheOneWhoWill/Bootstrap-LLM,62,Bootstrap-LLM,1,1,,true
90,TinyLlama/TinyLlama-1.1B-Chat-v0.5,63,TinyLlama-1.1B-Chat-v0.5,1,1,,true
91,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,TinyLlama-1.1B-Chat-v1.0,1,1,,true
92,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,65,TinyLlama-1.1B-intermediate-step-1431k-3T,1,1,,true
93,TinyLlama/TinyLlama_v1.1,66,TinyLlama_v1.1,1,1,,true
94,TinyLlama/TinyLlama_v1.1_math_code,67,TinyLlama_v1.1_math_code,1,1,,true
95,Writer/palmyra-mini,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,false
96,XiaomiMiMo/MiMo-7B-Base,9,MiMo-7B-Base,3,3,,false
97,abocide/Qwen2.5-7B-Instruct-R1-forfinance,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,true
98,acon96/Home-Llama-3.2-3B,5,Llama-3.2-3B-Instruct,6,6,meta-llama/Llama-3.2-3B-Instruct,false
99,adamo1139/Apertus-8B-Instruct-2509-ungated,23,Apertus-8B-2509,2,2,swiss-ai/Apertus-8B-2509,true
