model_id,base_model
Efficient-Large-Model/Fast_dLLM_v2_7B,Qwen/Qwen2.5-7B-Instruct
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct
Hcompany/Holo1-3B,Qwen/Qwen2.5-VL-3B-Instruct
Hcompany/Holo1-7B,Qwen/Qwen2.5-VL-7B-Instruct
Hcompany/Holo1.5-3B,Qwen/Qwen2.5-VL-3B-Instruct
Hcompany/Holo1.5-7B,Qwen/Qwen2.5-VL-7B-Instruct
IDEA-Research/Rex-Omni,Qwen/Qwen2.5-VL-3B-Instruct
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct
LLM360/K2-Think,Qwen/Qwen2.5-32B
MBZUAI/BiMediX2-8B-Bi,meta-llama/Llama-3.1-8B-Instruct
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B
Qwen/QwQ-32B,Qwen/Qwen2.5-32B
Qwen/Qwen2.5-32B,
Qwen/Qwen2.5-32B-Instruct,Qwen/Qwen2.5-32B
Qwen/Qwen2.5-7B,
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B
Qwen/Qwen2.5-VL-3B-Instruct,
Qwen/Qwen2.5-VL-7B-Instruct,
ServiceNow/Qwen2.5-VL-7B-Instruct-StarFlow,Qwen/Qwen2.5-VL-7B-Instruct
Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,meta-llama/Llama-3.1-8B-Instruct
Skywork/Skywork-Reward-V2-Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct
Snowflake/Llama-3.3-SwiftKV-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct
Video-R1/Qwen2.5-VL-7B-COT-SFT,Qwen/Qwen2.5-7B-Instruct
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B
allenai/MolmoAct-7B-D-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-Captioner-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-LIBERO-Goal-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-LIBERO-Long-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-LIBERO-Object-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-Pretrain-0812,Qwen/Qwen2.5-7B
allenai/MolmoAct-7B-D-Pretrain-RT-1-0812,Qwen/Qwen2.5-7B
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B
allenai/olmOCR-2-7B-1025,Qwen/Qwen2.5-VL-7B-Instruct
allenai/olmOCR-7B-0725,Qwen/Qwen2.5-VL-7B-Instruct
allenai/olmOCR-7B-0825,Qwen/Qwen2.5-VL-7B-Instruct
amd/X-EcoMLA-3B3B-dynamic-0.95-DPO,meta-llama/Llama-3.2-3B-Instruct
amd/X-EcoMLA-3B3B-fixed-kv816-DPO,meta-llama/Llama-3.2-3B-Instruct
amd/Zebra-Llama-3B-14MLA-14Mamba-SFT,meta-llama/Llama-3.2-3B-Instruct
amd/Zebra-Llama-3B-6MLA-22Mamba-SFT,meta-llama/Llama-3.2-3B-Instruct
amd/Zebra-Llama-8B-8MLA-24Mamba-SFT,meta-llama/Llama-3.1-8B-Instruct
arcee-ai/Caller,Qwen/Qwen2.5-32B
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Llama-3.1-8B-Instruct
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct
arcee-ai/Virtuoso-Medium-v2,Qwen/Qwen2.5-32B
baichuan-inc/Baichuan-M2-32B,Qwen/Qwen2.5-32B
canopylabs/3b-de-pretrain-research_release,meta-llama/Llama-3.2-3B-Instruct
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B
furiosa-ai/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct
furiosa-ai/Llama-3.3-70B-Instruct-INT8,meta-llama/Llama-3.3-70B-Instruct
furiosa-ai/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct
meta-llama/Llama-3.1-8B,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B
meta-llama/Llama-3.2-3B-Instruct,
meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.1-70B
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B
microsoft/GUI-Actor-3B-Qwen2.5-VL,Qwen/Qwen2.5-VL-3B-Instruct
microsoft/GUI-Actor-7B-Qwen2.5-VL,Qwen/Qwen2.5-VL-7B-Instruct
microsoft/MediPhi,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-Clinical,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-Guidelines,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-Instruct,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-MedCode,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-MedWiki,microsoft/Phi-3.5-mini-instruct
microsoft/MediPhi-PubMed,microsoft/Phi-3.5-mini-instruct
microsoft/Phi-3.5-mini-instruct,
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B
nanonets/Nanonets-OCR-s,Qwen/Qwen2.5-VL-3B-Instruct
nanonets/Nanonets-OCR2-3B,Qwen/Qwen2.5-VL-3B-Instruct
nomic-ai/colqwen2.5-7B-base,Qwen/Qwen2.5-VL-3B-Instruct
numind/NuExtract-1.5,microsoft/Phi-3.5-mini-instruct
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct
nvidia/Llama-3.3-70B-Instruct-FP8,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Edit,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Feedback,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Reward,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Reward-Multilingual,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Reward-Principle,meta-llama/Llama-3.3-70B-Instruct
nvidia/Llama-3.3-Nemotron-70B-Select,meta-llama/Llama-3.3-70B-Instruct
nvidia/NFT-32B,Qwen/Qwen2.5-32B
nvidia/NV-Reason-CXR-3B,Qwen/Qwen2.5-VL-3B-Instruct
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B
nvidia/OpenReasoning-Nemotron-32B,Qwen/Qwen2.5-32B
reducto/RolmOCR,Qwen/Qwen2.5-VL-7B-Instruct
scb10x/typhoon-ocr-7b,Qwen/Qwen2.5-VL-7B-Instruct
