base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.190969,0.119876,0.103615
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.5,0.0,0.11142,0.113841,0.075087
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,13.0,0.1,0.298084,0.257417,0.2185
dphn/Dolphin3.0-Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.5,0.0,0.086709,0.025106,0.037272
stpete2/Qwen2.5-0.5B-gsm8k-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.7,0.0,0.247553,0.238062,0.161872
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.186522,0.177003,0.121175
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.128328,0.116176,0.081501
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.190969,0.119876,0.103615
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,5.5,0.1,0.189988,0.173289,0.154426
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.005157,0.003932,0.00303
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.1,0.0,0.157374,0.088603,0.081992
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.240409,0.262741,0.167717
