base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.102472,0.036862,0.046444
Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.027543,0.016316,0.01462
lemon-mint/Qwen2-0.5B-Ko-v0.01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.023644,0.019185,0.014276
dphn/dolphin-2.9.3-qwen2-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.091977,0.034037,0.042005
amy011872/LawToken-0.5B-a2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.017327,0.010697,0.009341
amy011872/LawToken-0.5B-baseline,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.002247,0.003306,0.001851
trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.03061,0.050704,0.027105
yangzhao02/qwen2-0.5b-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.060085,0.025292,0.028459
bnm8901/humanizerAI_0.5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.058135,0.04849,0.035542
CoolSpring/Qwen2-0.5B-Abyme,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.049713,0.037584,0.029099
MaxwellJryao/sft_P3_full-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.05416,0.058309,0.03749
TitanML/Qwen2-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.102472,0.036862,0.046444
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.006051,0.034411,0.013487
