model,base_model,base_in_testset,base_in_outliers,hit_rate_eligible
01-ai/Yi-6B,,no,no,no
01-ai/Yi-6B-200K,,no,no,no
01-ai/Yi-6B-Chat,,no,no,no
AdaptLLM/medicine-LLM,,no,no,no
AiMavenAi/AiMaven-Prometheus,,no,no,no
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,yes,yes,yes
BioMistral/BioMistral-7B,,no,no,no
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B; mistralai/Mistral-7B-Instruct-v0.1,yes,yes,yes
Biomimicry-AI/ANIMA-Nectar-v2,,no,no,no
ByteDance-Seed/Seed-Coder-8B-Base,,no,no,no
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,yes,yes,yes
ChrisMcCormick/deepseek-tiny-v0.1,,no,no,no
CorticalStack/pastiche-crown-clown-7b-dare,,no,no,no
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,yes,yes,yes
CultriX/NeuralTrix-7B-dpo,mlabonne/OmniBeagle-7B; AiMavenAi/AiMaven-Prometheus; flemmingmiguel/MBX-7B-v3,yes,yes,yes
CultriX/NeuralTrix-bf16,CultriX/NeuralTrix-7B-dpo,yes,yes,yes
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,,no,no,no
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,yes,yes,yes
EleutherAI/gpt-neo-1.3B,,no,no,no
EleutherAI/polyglot-ko-3.8b,,no,no,no
EleutherAI/pythia-1.4b,,no,no,no
EleutherAI/pythia-1b,,no,no,no
EleutherAI/pythia-2.8b,,no,no,no
EleutherAI/pythia-6.9b,,no,no,no
FelixChao/Sectumsempra-7B-DPO,,no,no,no
FelixChao/vicuna-7B-chemical,,no,no,no
FelixChao/vicuna-7B-physics,,no,no,no
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,yes,yes,yes
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,yes,yes,yes
HuggingFaceTB/SmolLM-135M,,no,no,no
HuggingFaceTB/SmolLM2-135M,,no,no,no
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,yes,yes,yes
HuggingFaceTB/SmolLM3-3B-Base,,no,no,no
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b; google/gemma-2-2b-it,yes,yes,yes
Intel/neural-chat-7b-v3-1,mistralai/Mistral-7B-v0.1,yes,yes,yes
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,yes,yes,yes
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
KoboldAI/GPT-Neo-2.7B-Horni-LN,,no,no,no
LGAI-EXAONE/EXAONE-4.0-1.2B,,no,no,no
LiquidAI/LFM2-1.2B,,no,no,no
LiquidAI/LFM2-350M,,no,no,no
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
Nexusflow/Starling-LM-7B-beta,,no,no,no
NinedayWang/PolyCoder-2.7B,,no,no,no
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,yes,yes,yes
PharMolix/BioMedGPT-LM-7B,,no,no,no
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,yes,yes,yes
PygmalionAI/pygmalion-2.7b,,no,no,no
Qwen/Qwen1.5-0.5B-Chat,,no,no,no
Qwen/Qwen1.5-4B-Chat,,no,no,no
Qwen/Qwen2-0.5B,,no,no,no
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,yes,yes,yes
Qwen/Qwen2-7B,,no,no,no
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,yes,yes,yes
Qwen/Qwen2.5-0.5B,,no,no,no
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,yes,yes,yes
Qwen/Qwen2.5-1.5B,,no,no,no
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,yes,yes,yes
Qwen/Qwen2.5-3B,,no,no,no
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,yes,yes,yes
Qwen/Qwen2.5-7B,,no,no,no
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,yes,yes,yes
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,yes,yes,yes
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,yes,yes,yes
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,yes,yes,yes
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,yes,yes,yes
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,yes,yes,yes
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,yes,yes,yes
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,yes,no,yes
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,yes,yes,yes
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-7B,yes,no,yes
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,yes,no,yes
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,yes,yes,yes
Qwen/Qwen3-0.6B-Base,,no,no,no
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,yes,no,yes
Qwen/Qwen3-1.7B-Base,,no,no,no
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,yes,no,yes
Qwen/Qwen3-4B-Base,,no,no,no
Qwen/Qwen3-4B-Instruct-2507,,no,no,no
Qwen/Qwen3-4B-Thinking-2507,,no,no,no
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,yes,yes,yes
S4nfs/Neeto-1.0-8b,,no,no,no
