model_name,model_short_name,organization,family,cluster_id,direct_parent,base_model_from_dataset,fetch_error
01-ai/Yi-6B,Yi-6B,01-ai,Yi-6B,49,,,
01-ai/Yi-6B-200K,Yi-6B-200K,01-ai,Yi-6B-200K,50,,,
01-ai/Yi-6B-Chat,Yi-6B-Chat,01-ai,Yi-6B-Chat,51,,,
AdaptLLM/finance-chat,finance-chat,AdaptLLM,finance-chat,52,,,
AdaptLLM/medicine-LLM,medicine-LLM,AdaptLLM,medicine-LLM,53,,,
AdaptLLM/medicine-chat,medicine-chat,AdaptLLM,medicine-chat,54,,,
Biomimicry-AI/ANIMA-Nectar-v2,ANIMA-Nectar-v2,Biomimicry-AI,ANIMA-Nectar-v2,55,,,
ChrisMcCormick/deepseek-tiny-v0.1,deepseek-tiny-v0.1,ChrisMcCormick,deepseek-tiny-v0.1,56,,,
EleutherAI/gpt-j-6b,gpt-j-6b,EleutherAI,gpt-j-6b,57,,,
EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI,gpt-neo-1.3B,58,,,
EleutherAI/llemma_7b,llemma_7b,EleutherAI,llemma_7b,59,,,
EleutherAI/polyglot-ko-3.8b,polyglot-ko-3.8b,EleutherAI,polyglot-ko-3.8b,60,,,
EleutherAI/pythia-1.4b,pythia-1.4b,EleutherAI,pythia-1.4b,61,,,
EleutherAI/pythia-1b,pythia-1b,EleutherAI,pythia-1b,62,,,
EleutherAI/pythia-2.8b,pythia-2.8b,EleutherAI,pythia-2.8b,63,,,
EleutherAI/pythia-6.9b,pythia-6.9b,EleutherAI,pythia-6.9b,64,,,
FelixChao/vicuna-7B-chemical,vicuna-7B-chemical,FelixChao,vicuna-7B-chemical,65,,,
FelixChao/vicuna-7B-physics,vicuna-7B-physics,FelixChao,vicuna-7B-physics,66,,,
Harshvir/Llama-2-7B-physics,Llama-2-7B-physics,Harshvir,Llama-2-7B-physics,67,,,
HuggingFaceTB/SmolLM-135M,SmolLM-135M,HuggingFaceTB,SmolLM-135M,68,,,
HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB,SmolLM2-135M,69,,,
KoboldAI/GPT-Neo-2.7B-Horni-LN,GPT-Neo-2.7B-Horni-LN,KoboldAI,GPT-Neo-2.7B-Horni-LN,70,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,LGAI-EXAONE,EXAONE-4.0-1.2B,71,,,
LLM360/Amber,Amber,LLM360,Amber,72,,,
LiquidAI/LFM2-1.2B,LFM2-1.2B,LiquidAI,LFM2-1.2B,73,,,
LiquidAI/LFM2-350M,LFM2-350M,LiquidAI,LFM2-350M,74,,,
Neko-Institute-of-Science/metharme-7b,metharme-7b,Neko-Institute-of-Science,metharme-7b,75,,,
Neko-Institute-of-Science/pygmalion-7b,pygmalion-7b,Neko-Institute-of-Science,pygmalion-7b,76,,,
Nexusflow/Starling-LM-7B-beta,Starling-LM-7B-beta,Nexusflow,Starling-LM-7B-beta,77,,,
NinedayWang/PolyCoder-2.7B,PolyCoder-2.7B,NinedayWang,PolyCoder-2.7B,78,,,
PetroGPT/WestSeverus-7B-DPO-v2,WestSeverus-7B-DPO-v2,PetroGPT,WestSeverus-7B-DPO-v2,79,,,
PharMolix/BioMedGPT-LM-7B,BioMedGPT-LM-7B,PharMolix,BioMedGPT-LM-7B,80,,,
PygmalionAI/pygmalion-2.7b,pygmalion-2.7b,PygmalionAI,pygmalion-2.7b,81,,,
Qwen/Qwen1.5-0.5B-Chat,Qwen1.5-0.5B-Chat,Qwen,Qwen1.5-0.5B-Chat,82,,,
Qwen/Qwen1.5-4B-Chat,Qwen1.5-4B-Chat,Qwen,Qwen1.5-4B-Chat,83,,,
Qwen/Qwen1.5-7B-Chat,Qwen1.5-7B-Chat,Qwen,Qwen1.5-7B-Chat,84,,,
S4nfs/Neeto-1.0-8b,Neeto-1.0-8b,S4nfs,Neeto-1.0-8b,85,,,
SciPhi/SciPhi-Mistral-7B-32k,SciPhi-Mistral-7B-32k,SciPhi,SciPhi-Mistral-7B-32k,86,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,SciPhi-Self-RAG-Mistral-7B-32k,SciPhi,SciPhi-Self-RAG-Mistral-7B-32k,87,,,
TheOneWhoWill/Bootstrap-LLM,Bootstrap-LLM,TheOneWhoWill,Bootstrap-LLM,88,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,TinyLlama-1.1B-Chat-v0.5,TinyLlama,TinyLlama-1.1B-Chat-v0.5,89,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,TinyLlama,TinyLlama-1.1B-Chat-v1.0,90,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama,TinyLlama-1.1B-intermediate-step-1431k-3T,91,,,
TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama_v1.1,92,,,
TinyLlama/TinyLlama_v1.1_math_code,TinyLlama_v1.1_math_code,TinyLlama,TinyLlama_v1.1_math_code,93,,,
allenai/OLMoE-1B-7B-0924,OLMoE-1B-7B-0924,allenai,OLMoE-1B-7B-0924,94,,,
allenai/llama-3.1-tulu-2-8b,llama-3.1-tulu-2-8b,allenai,llama-3.1-tulu-2-8b,95,,meta-llama/Meta-Llama-3.1-8B,
