base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 1.0, 0.015625, 1.0, 1.0]"
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,5,0.80625,2000,"[1.0, 1.0, 1.0, 1.0, 0.03125]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 0.015625, 1.0, 1.0, 1.0]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,5,0.00625,2000,"[0.0, 0.015625, 0.0, 0.015625, 0.0]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,5,0.53125,2000,"[1.0, 0.984375, 0.0, 0.0, 0.671875]"
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,5,0.10625,2000,"[0.0, 0.015625, 0.484375, 0.03125, 0.0]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,5,0.503125,2000,"[1.0, 0.0, 1.0, 0.515625, 0.0]"
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,5,0.696875,2000,"[0.0, 0.984375, 1.0, 0.5, 1.0]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.0, 0.0, 0.015625, 0.0, 0.0]"
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,5,0.959375,2000,"[0.8125, 1.0, 1.0, 1.0, 0.984375]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,5,0.103125,2000,"[0.0, 0.5, 0.0, 0.015625, 0.0]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,5,0.796875,2000,"[0.984375, 1.0, 0.0, 1.0, 1.0]"
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,5,0.19375,2000,"[0.0, 0.96875, 0.0, 0.0, 0.0]"
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.0, 0.0, 0.0, 0.015625, 0.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,5,0.5125,2000,"[0.515625, 0.015625, 1.0, 0.03125, 1.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,5,0.73125,2000,"[0.65625, 1.0, 1.0, 1.0, 0.0]"
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,5,0.39375,2000,"[1.0, 0.0, 0.0, 0.96875, 0.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,5,0.946875,2000,"[0.75, 0.984375, 1.0, 1.0, 1.0]"
Audreygyj/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 0.015625, 1.0, 1.0, 1.0]"
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,Qwen/Qwen2.5-0.5B,5,0.05,2000,"[0.25, 0.0, 0.0, 0.0, 0.0]"
shb2024/Qwen-0.5B-AMR,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.0, 0.0, 0.0, 0.015625, 0.0]"
JayHyeon/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,5,0.996875,2000,"[1.0, 1.0, 1.0, 0.984375, 1.0]"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,Qwen/Qwen2.5-0.5B,5,0.390625,2000,"[0.0, 0.953125, 0.0, 0.0, 1.0]"
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,Qwen/Qwen2.5-0.5B,5,0.196875,2000,"[0.0, 0.0, 0.015625, 0.96875, 0.0]"
viethq5/Qwen2.5-0.5B-Instruct-f16,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,Qwen/Qwen2.5-0.5B,5,0.6,2000,"[0.015625, 0.0, 1.0, 0.984375, 1.0]"
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,Qwen/Qwen2.5-0.5B,5,0.05,2000,"[0.0, 0.0, 0.25, 0.0, 0.0]"
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
verge4646/autotrain-qwen-1737303151,Qwen/Qwen2.5-0.5B,5,0.603125,2000,"[0.015625, 1.0, 1.0, 0.0, 1.0]"
minchyeom/bot3-0.5B,Qwen/Qwen2.5-0.5B,5,0.8875,2000,"[1.0, 1.0, 0.984375, 0.953125, 0.5]"
fabiopernisi/Qwen2.5-0.5B-BMW-compl,Qwen/Qwen2.5-0.5B,5,0.621875,2000,"[0.984375, 0.5, 0.953125, 0.015625, 0.65625]"
josang1204/Qweb2.5-FT-CSY,Qwen/Qwen2.5-0.5B,5,0.39375,2000,"[0.0, 0.0, 0.96875, 1.0, 0.0]"
p1atdev/qwen2.5-0.5b-grpo-math-01,Qwen/Qwen2.5-0.5B,5,0.196875,2000,"[0.0, 0.984375, 0.0, 0.0, 0.0]"
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
BlossomsAI/BloomVN-0.5B-ppo,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,5,0.1,2000,"[0.0, 0.5, 0.0, 0.0, 0.0]"
awentzonline/Qwen2.5-0.5B-replies,Qwen/Qwen2.5-0.5B,5,0.796875,2000,"[1.0, 0.0, 0.984375, 1.0, 1.0]"
brando/tfa_output_2025_m02_d07_t07h_45m_38s,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 1.0, 1.0, 0.015625, 1.0]"
oieieio/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,Qwen/Qwen2.5-0.5B,5,0.396875,2000,"[0.984375, 0.0, 0.984375, 0.0, 0.015625]"
dtejasaipraveen/qwenfinetuned,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
qgallouedec/Qwen2.5-0.5B-GRPO-2873,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
qgallouedec/Qwen2.5-0.5B-GRPO-main,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
flyyufelix/Qwen-2.5-7B-Simple-RL,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jzhang-x/Qwen-2.5-7B-Simple-RL,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
ruizhe1217/sft-s1-qwen-0.5b,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
hZzy/qwen2.5-0.5b-sft-25-1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
sathwik16/results,Qwen/Qwen2.5-0.5B,5,0.6,2000,"[1.0, 1.0, 0.0, 0.0, 1.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.0, 0.0, 0.015625, 0.0, 0.0]"
mustafij48/qwen2.5-0.5B_on_databricks_dolly_4k_datasize_5_epoch,Qwen/Qwen2.5-0.5B,5,0.603125,2000,"[1.0, 1.0, 0.0, 0.015625, 1.0]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoch-8-peft,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
EdBerg/outputs_qwen_100,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
EdBerg/outputs_qwen_232,Qwen/Qwen2.5-0.5B,5,0.2,2000,"[0.0, 0.0, 0.015625, 0.0, 0.984375]"
southfreebird/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
DiamondGotCat/Prism-0.2,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[1.0, 1.0, 1.0, 0.0, 1.0]"
jhu-clsp/rank1-0.5b,Qwen/Qwen2.5-0.5B,5,0.19375,2000,"[0.96875, 0.0, 0.0, 0.0, 0.0]"
