index,model_id,strict_cluster_id,strict_family,loose_family_id,loose_family,loose_family_size,loose_mapping_source
1,01-ai/Yi-6B,28,Yi-6B,12,Yi,3,strict_root:name_rule:Yi
2,01-ai/Yi-6B-200K,29,Yi-6B-200K,12,Yi,3,strict_root:name_rule:Yi
3,01-ai/Yi-6B-Chat,30,Yi-6B-Chat,12,Yi,3,strict_root:name_rule:Yi
4,AdaptLLM/medicine-LLM,31,medicine-LLM,20,medicine-LLM,1,strict_root:fallback:root_tail
5,AiMavenAi/AiMaven-Prometheus,32,AiMaven-Prometheus,21,AiMaven-Prometheus,1,strict_root:fallback:root_tail
6,Aurore-Reveil/Koto-Small-7B-IT,9,MiMo-7B-Base,13,MiMo,3,strict_root:name_rule:MiMo
7,BioMistral/BioMistral-7B,15,BioMistral-7B,4,Mistral,9,strict_root:name_rule:Mistral
8,BioMistral/BioMistral-7B-DARE,15,BioMistral-7B,4,Mistral,9,strict_root:name_rule:Mistral
9,Biomimicry-AI/ANIMA-Nectar-v2,33,ANIMA-Nectar-v2,22,ANIMA-Nectar-v2,1,strict_root:fallback:root_tail
10,ByteDance-Seed/Seed-Coder-8B-Base,16,Seed-Coder-8B-Base,15,Seed-Coder,2,strict_root:name_rule:Seed-Coder
11,ByteDance-Seed/Seed-Coder-8B-Instruct,16,Seed-Coder-8B-Base,15,Seed-Coder,2,strict_root:name_rule:Seed-Coder
12,ChrisMcCormick/deepseek-tiny-v0.1,34,deepseek-tiny-v0.1,14,DeepSeek,3,strict_root:name_rule:DeepSeek
13,CorticalStack/pastiche-crown-clown-7b-dare,17,pastiche-crown-clown-7b-dare,16,pastiche-crown-clown-7b-dare,2,strict_root:fallback:root_tail
14,CorticalStack/pastiche-crown-clown-7b-dare-dpo,17,pastiche-crown-clown-7b-dare,16,pastiche-crown-clown-7b-dare,2,strict_root:fallback:root_tail
15,CultriX/NeuralTrix-7B-dpo,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
16,CultriX/NeuralTrix-bf16,35,NeuralTrix-bf16,23,NeuralTrix-bf16,1,strict_root:fallback:root_tail
17,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,36,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,1,Qwen,63,strict_root:name_rule:Qwen
18,DeepHat/DeepHat-V1-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
19,EleutherAI/gpt-neo-1.3B,37,gpt-neo-1.3B,24,gpt-neo-1.3B,1,strict_root:fallback:root_tail
20,EleutherAI/polyglot-ko-3.8b,38,polyglot-ko-3.8b,25,polyglot-ko-3.8b,1,strict_root:fallback:root_tail
21,EleutherAI/pythia-1.4b,39,pythia-1.4b,9,Pythia,4,strict_root:name_rule:Pythia
22,EleutherAI/pythia-1b,40,pythia-1b,9,Pythia,4,strict_root:name_rule:Pythia
23,EleutherAI/pythia-2.8b,41,pythia-2.8b,9,Pythia,4,strict_root:name_rule:Pythia
24,EleutherAI/pythia-6.9b,42,pythia-6.9b,9,Pythia,4,strict_root:name_rule:Pythia
25,FelixChao/Sectumsempra-7B-DPO,43,Sectumsempra-7B-DPO,26,Sectumsempra-7B-DPO,1,strict_root:fallback:root_tail
26,FelixChao/vicuna-7B-chemical,44,vicuna-7B-chemical,7,Vicuna,5,strict_root:name_rule:Vicuna
27,FelixChao/vicuna-7B-physics,45,vicuna-7B-physics,7,Vicuna,5,strict_root:name_rule:Vicuna
28,Gensyn/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
29,Gensyn/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
