model1,model2,graph_distance
Gensyn/Qwen2.5-0.5B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Gensyn/Qwen2.5-7B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
Gensyn/Qwen2.5-0.5B-Instruct,Jurema-br/Jurema-7B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,MLP-KTLim/llama-3-Korean-Bllossom-8B,
Gensyn/Qwen2.5-0.5B-Instruct,Menlo/AlphaSpace-1.5B,
Gensyn/Qwen2.5-0.5B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
Gensyn/Qwen2.5-0.5B-Instruct,NousResearch/Hermes-2-Pro-Llama-3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B,
Gensyn/Qwen2.5-0.5B-Instruct,NousResearch/Hermes-3-Llama-3.2-3B,
Gensyn/Qwen2.5-0.5B-Instruct,NousResearch/Meta-Llama-3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,PowerInfer/SmallThinker-3B-Preview,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2-7B,12.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2-7B-Instruct,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,1.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,2.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B,12.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B,12.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-7B,12.0
