model,top1_overlap,top1_models,top1_count,top2_overlap,top2_models,top2_count,base_model,base_relationship,base_in_testset,base_overlap,base_in_top
Qwen/Qwen2-7B-Instruct,0.6403,Qwen/Qwen2-7B,1,0.1337,Jurema-br/Jurema-7B,1,Qwen/Qwen2-7B,finetune,yes,0.640300,1
Gensyn/Qwen2.5-7B-Instruct,1.0,Qwen/Qwen2.5-7B-Instruct,1,0.7569,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,1.000000,1
Qwen/Qwen2.5-3B-Instruct,0.4474,Qwen/Qwen2.5-3B,1,0.2956,PowerInfer/SmallThinker-3B-Preview,1,Qwen/Qwen2.5-3B,finetune,yes,0.447400,1
mistralai/Mistral-7B-Instruct-v0.3,0.4574,nvidia/Llama-3.1-8B-Instruct-FP8,1,0.4505,tiiuae/Falcon3-1B-Instruct,1,mistralai/Mistral-7B-v0.3,finetune,no,,
Qwen/Qwen3-4B,0.1474,Qwen/Qwen3-1.7B,1,0.1178,dnotitia/Smoothie-Qwen3-1.7B,1,Qwen/Qwen3-4B-Base,finetune,no,,
meta-llama/Llama-3.2-3B,0.5223,NousResearch/Hermes-3-Llama-3.2-3B,1,0.3366,unsloth/Llama-3.2-1B,1,,,,,
Jurema-br/Jurema-7B,0.6758,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.6369,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.675800,1
meta-llama/Llama-3.2-1B-Instruct,1.0,unsloth/Llama-3.2-1B-Instruct,1,0.2693,inference-net/Schematron-3B,1,,,,,
Qwen/Qwen2.5-1.5B,1.0,unsloth/Qwen2.5-1.5B,1,0.514,unsloth/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct,3,,,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.7282,meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,2,0.679,inference-net/Schematron-3B,1,meta-llama/Llama-3.2-3B-Instruct,finetune,yes,0.728200,1
NousResearch/Hermes-3-Llama-3.1-8B,0.3408,NousResearch/Hermes-2-Pro-Llama-3-8B,1,0.3354,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B,finetune,yes,0.307800,0
