base_model_name,suspect_model_name,num_pairs,avg_js_divergence,avg_prefix_match_rate,avg_lcs_ratio,avg_sig_overlap_rate,avg_text_score,bottom_k_vocab_size,per_pair_js_json
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.46416459083557127,0.0,0.04165165000112053,0.0,0.013883883333706845,2000,"[0.41683638095855713, 0.41683638095855713, 0.36743849515914917, 0.36743849515914917, 0.659796953201294, 0.659796953201294, 0.5181100368499756, 0.5181100368499756, 0.3586410880088806, 0.3586410880088806]"
dhairyakhant/tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.22903955951333047,0.0,0.06692759540160179,0.0,0.022309198467200596,2000,"[0.3538111448287964, 0.3538110554218292, 0.16666021943092346, 0.16666026413440704, 0.23536096513271332, 0.2353609800338745, 0.268165647983551, 0.268165647983551, 0.12119986116886139, 0.12119980901479721]"
azam25/TinyLlama_instruct_generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.05152944251894951,0.0,0.0,0.0,0.0,2000,"[0.060128532350063324, 0.060128532350063324, 0.0521569661796093, 0.052156995981931686, 0.05633584409952164, 0.05633585900068283, 0.02741861343383789, 0.02741861343383789, 0.0616072341799736, 0.0616072341799736]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.029031885042786598,0.0,0.019639870170463987,0.0,0.006546623390154663,2000,"[0.022783953696489334, 0.022783953696489334, 0.04221092537045479, 0.042210903018713, 0.008444597944617271, 0.008444597944617271, 0.01608419045805931, 0.01608419045805931, 0.05563576892018318, 0.05563576892018318]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.04038749858736992,0.0,0.03130434782608696,0.0,0.010434782608695653,2000,"[0.03318500891327858, 0.03318500891327858, 0.03902711346745491, 0.03902711346745491, 0.04149793088436127, 0.04149793088436127, 0.021121371537446976, 0.021121371537446976, 0.06710606813430786, 0.06710606813430786]"
adsazad/test_trainer,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.0,0.0,0.0030289598108747045,0.0,0.001009653270291568,2000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Edentns/DataVortexTL-1.1B-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.20665144324302673,0.0,0.05628519532323223,0.0,0.018761731774410744,2000,"[0.18389983475208282, 0.18389983475208282, 0.18769827485084534, 0.18769830465316772, 0.33815333247184753, 0.33815333247184753, 0.18568125367164612, 0.18568125367164612, 0.13782450556755066, 0.13782450556755066]"
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,3.0385109857888894e-05,0.0,0.09024182081480774,0.0,0.030080606938269246,2000,"[4.589618765749037e-05, 4.589618765749037e-05, 1.3051052519585937e-05, 1.3051052519585937e-05, 3.350845872773789e-05, 3.359354377607815e-05, 2.9274786356836557e-05, 2.9236864065751433e-05, 3.0171482649166137e-05, 3.0171482649166137e-05]"
ksjpswaroop/tinyllama-coder-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.08256062716245652,0.0,0.00446927374301676,0.0,0.00148975791433892,2000,"[0.10753700137138367, 0.10753700137138367, 0.06692831218242645, 0.06692829728126526, 0.07206353545188904, 0.07206358015537262, 0.10102157294750214, 0.10102157294750214, 0.06525267660617828, 0.06525272130966187]"
Nirajkanth/tinyllama-mental_health_counseling_conversations,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.03690367043018341,0.0,0.033975029214588844,0.0,0.01132500973819628,2000,"[0.045700572431087494, 0.045700617134571075, 0.043399959802627563, 0.043399959802627563, 0.03703350946307182, 0.03703350946307182, 0.03242102637887001, 0.03242102637887001, 0.02596326172351837, 0.02596326172351837]"
