model,top1_overlap,top1_models,top1_count,top2_overlap,top2_models,top2_count,base_model,base_relationship,base_in_testset,base_overlap
Qwen/Qwen2-7B-Instruct,0.1337,Jurema-br/Jurema-7B,1,0.1189,arcee-ai/Meraj-Mini,1,Qwen/Qwen2-7B,finetune,no,
Gensyn/Qwen2.5-7B-Instruct,1.0,Qwen/Qwen2.5-7B-Instruct,1,0.7569,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,1.000000
Qwen/Qwen2.5-3B-Instruct,0.4474,Qwen/Qwen2.5-3B,1,0.2956,PowerInfer/SmallThinker-3B-Preview,1,Qwen/Qwen2.5-3B,finetune,yes,0.447400
mistralai/Mistral-7B-Instruct-v0.3,0.4505,tiiuae/Falcon3-1B-Instruct,1,0.1134,mistralai/Mistral-7B-Instruct-v0.2,1,mistralai/Mistral-7B-v0.3,finetune,no,
Qwen/Qwen3-4B,0.1474,Qwen/Qwen3-1.7B,1,0.0813,PowerInfer/SmallThinker-3B-Preview,1,Qwen/Qwen3-4B-Base,finetune,no,
meta-llama/Llama-3.2-3B,0.3366,unsloth/Llama-3.2-1B,1,0.3119,allenai/Llama-3.1-Tulu-3-8B-SFT,1,,,,
Jurema-br/Jurema-7B,0.6758,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.6369,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.675800
meta-llama/Llama-3.2-1B-Instruct,1.0,unsloth/Llama-3.2-1B-Instruct,1,0.2693,inference-net/Schematron-3B,1,,,,
Qwen/Qwen2.5-1.5B,0.514,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct,2,0.3753,Qwen/Qwen2.5-3B,1,,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.679,inference-net/Schematron-3B,1,0.6085,acon96/Home-Llama-3.2-3B,1,meta-llama/Llama-3.2-3B-Instruct,finetune,no,
NousResearch/Hermes-3-Llama-3.1-8B,0.3354,aisingapore/Llama-SEA-LION-v3-8B,1,0.2904,MLP-KTLim/llama-3-Korean-Bllossom-8B,1,meta-llama/Llama-3.1-8B,finetune,no,
mistralai/Mistral-7B-Instruct-v0.2,0.5277,mistralai/Mistral-7B-v0.1,1,0.0883,mistralai/Mistral-7B-Instruct-v0.3,1,,,,
tiiuae/Falcon3-1B-Instruct,0.4478,mistralai/Mistral-7B-Instruct-v0.3,1,0.0735,mistralai/Mistral-7B-v0.1,1,tiiuae/Falcon3-1B-Base,finetune,no,
Qwen/Qwen2.5-Coder-0.5B,0.2091,Qwen/Qwen2.5-3B,1,0.184,Qwen/Qwen2.5-1.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,
Qwen/Qwen2.5-1.5B-Instruct,1.0,Gensyn/Qwen2.5-1.5B-Instruct,1,0.6051,Qwen/Qwen2.5-1.5B,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.605100
Qwen/Qwen2.5-7B,0.4643,arcee-ai/Meraj-Mini,1,0.3904,Qwen/Qwen2.5-7B-Instruct-1M,1,,,,
Qwen/Qwen2.5-7B-Instruct,1.0,Gensyn/Qwen2.5-7B-Instruct,1,0.689,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B,finetune,yes,0.389900
Qwen/Qwen2.5-7B-Instruct-1M,0.439,arcee-ai/Meraj-Mini,1,0.4102,Qwen/Qwen2.5-7B-Instruct | Gensyn/Qwen2.5-7B-Instruct,2,Qwen/Qwen2.5-7B,finetune,yes,0.348600
Qwen/Qwen2.5-Coder-7B,0.1831,Qwen/Qwen2.5-7B,1,0.1491,Qwen/Qwen2.5-Coder-0.5B,1,Qwen/Qwen2.5-7B,finetune,yes,0.183100
mistralai/Mistral-7B-v0.1,0.6255,mistralai/Mistral-7B-Instruct-v0.2,1,0.0677,mistralai/Mistral-7B-Instruct-v0.3,1,,,,
Qwen/Qwen2.5-0.5B-Instruct,1.0,Gensyn/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,2,0.3513,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,
Qwen/Qwen2.5-3B,0.4207,Qwen/Qwen2.5-3B-Instruct,1,0.2749,PowerInfer/SmallThinker-3B-Preview,1,,,,
arcee-ai/WitchLM-1.5B,0.1236,Qwen/Qwen2.5-Coder-7B,1,0.1198,Qwen/Qwen2.5-7B,1,Qwen/Qwen2-1.5B,finetune,no,
SakanaAI/TinySwallow-1.5B,0.0797,Qwen/Qwen2.5-1.5B,1,0.0533,Qwen/Qwen2.5-Coder-0.5B,1,Qwen/Qwen2.5-1.5B-Instruct,finetune,yes,0.022600
acon96/Home-Llama-3.2-3B,0.7157,inference-net/Schematron-3B,1,0.6556,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,1,meta-llama/Llama-3.2-3B-Instruct,finetune,no,
aisingapore/Llama-SEA-LION-v3-8B,0.493,allenai/Llama-3.1-Tulu-3-8B-SFT,1,0.3493,arcee-ai/Llama-3.1-SuperNova-Lite,1,meta-llama/Llama-3.1-8B-Instruct,finetune,no,
allenai/Llama-3.1-Tulu-3-8B-SFT,0.3533,aisingapore/Llama-SEA-LION-v3-8B,1,0.2733,NousResearch/Hermes-3-Llama-3.1-8B,1,meta-llama/Llama-3.1-8B,finetune,no,
PowerInfer/SmallThinker-3B-Preview,0.3666,Qwen/Qwen2.5-3B-Instruct,1,0.2748,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-3B-Instruct,finetune,yes,0.366600
nvidia/Llama-3.1-Nemotron-Nano-4B-v1.1,0.0492,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,1,0.0479,dphn/Dolphin3.0-Llama3.1-8B,1,nvidia/Llama-3.1-Minitron-4B-Width-Base,finetune,no,
Qwen/Qwen2.5-Coder-3B-Instruct,0.1386,Qwen/Qwen2.5-Coder-7B,1,0.1287,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-Coder-3B,finetune,no,
nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.1471,allenai/llama-3.1-tulu-2-8b,1,0.1251,dphn/Dolphin3.0-Llama3.1-8B,1,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,finetune,no,
Qwen/Qwen3-1.7B,0.203,Qwen/Qwen3-4B,1,0.1162,PowerInfer/SmallThinker-3B-Preview,1,Qwen/Qwen3-1.7B-Base,finetune,no,
allenai/llama-3.1-tulu-2-8b,0.2767,NousResearch/Hermes-3-Llama-3.1-8B,1,0.2425,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B,finetune,no,
unsloth/Llama-3.2-1B-Instruct,1.0,meta-llama/Llama-3.2-1B-Instruct,1,0.2471,inference-net/Schematron-3B,1,meta-llama/Llama-3.2-1B-Instruct,finetune,yes,1.000000
unsloth/Qwen3-0.6B-Base,0.0978,unsloth/Qwen2.5-0.5B,1,0.0866,Qwen/Qwen2.5-3B-Instruct,1,Qwen/Qwen3-0.6B-Base,finetune,no,
MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2826,allenai/Llama-3.1-Tulu-3-8B-SFT,1,0.2732,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Meta-Llama-3-8B,finetune,no,
Qwen/Qwen2.5-Math-1.5B-Instruct,0.036,Qwen/Qwen2.5-7B-Instruct | Gensyn/Qwen2.5-7B-Instruct,2,0.0358,Jurema-br/Jurema-7B,1,Qwen/Qwen2.5-Math-1.5B,finetune,no,
Qwen/Qwen2-0.5B-Instruct,0.0804,Gensyn/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct,3,0.0568,Qwen/Qwen3-4B,1,Qwen/Qwen2-0.5B,finetune,no,
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.0792,Qwen/Qwen2.5-Coder-3B-Instruct,1,0.0525,PowerInfer/SmallThinker-3B-Preview,1,Qwen/Qwen2.5-Coder-0.5B,finetune,yes,0.046100
google/gemma-2-2b-jpn-it,0.0118,SakanaAI/TinySwallow-1.5B,1,0.0106,Qwen/Qwen2.5-3B,1,google/gemma-2-2b-it,finetune,no,
Gensyn/Qwen2.5-1.5B-Instruct,1.0,Qwen/Qwen2.5-1.5B-Instruct,1,0.6056,Qwen/Qwen2.5-1.5B,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.605600
unsloth/Llama-3.2-1B,0.2517,meta-llama/Llama-3.2-3B,1,0.2386,allenai/Llama-3.1-Tulu-3-8B-SFT,1,meta-llama/Llama-3.2-1B,finetune,no,
arcee-ai/Llama-3.1-SuperNova-Lite,0.7868,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,1,0.3372,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B-Instruct,finetune,no,
arcee-ai/Meraj-Mini,0.6711,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.5849,Jurema-br/Jurema-7B,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.671100
unsloth/Qwen2.5-0.5B,0.3774,Qwen/Qwen2.5-0.5B-Instruct | Gensyn/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,3,0.1628,Qwen/Qwen2.5-Coder-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,
unsloth/Qwen2.5-0.5B-Instruct,1.0,Gensyn/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct,2,0.3547,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B-Instruct,finetune,yes,1.000000
Gensyn/Qwen2.5-0.5B-Instruct,1.0,Qwen/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,2,0.3803,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,
unsloth/Qwen2.5-Math-7B-Instruct,0.0567,tiiuae/Falcon3-1B-Instruct,1,0.053,mistralai/Mistral-7B-Instruct-v0.3,1,Qwen/Qwen2.5-Math-7B-Instruct,finetune,no,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.7062,arcee-ai/Llama-3.1-SuperNova-Lite,1,0.3159,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B,finetune,no,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.6079,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.5463,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.607900
dphn/Dolphin3.0-Llama3.1-8B,0.2563,allenai/llama-3.1-tulu-2-8b,1,0.2533,allenai/Llama-3.1-Tulu-3-8B-SFT,1,meta-llama/Llama-3.1-8B,finetune,no,
inference-net/Schematron-3B,0.7691,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,1,0.7594,acon96/Home-Llama-3.2-3B,1,meta-llama/Llama-3.2-3B-Instruct,finetune,no,
