model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
01-ai/Yi-6B,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-200K,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-Chat,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
AdaptLLM/medicine-LLM,11,11,0,11,lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama_v1.1_math_code,
AiMavenAi/AiMaven-Prometheus,34,34,17,17,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | PharMolix/BioMedGPT-LM-7B,
Aurore-Reveil/Koto-Small-7B-IT,2,2,2,0,,1.5
BioMistral/BioMistral-7B,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | shadowml/BeagleSempra-7B | FelixChao/Sectumsempra-7B-DPO | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CultriX/NeuralTrix-7B-dpo | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | dicta-il/dictalm2.0 | bardsai/jaskier-7b-dpo-v5.6 | fblgit/UNA-TheBeagle-7b-v1 | Biomimicry-AI/ANIMA-Nectar-v2 | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha,
BioMistral/BioMistral-7B-DARE,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | fblgit/UNA-TheBeagle-7b-v1 | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0,
Biomimicry-AI/ANIMA-Nectar-v2,31,31,0,31,BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | Nexusflow/Starling-LM-7B-beta | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/OmniBeagle-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | dicta-il/dictalm2.0 | Intel/neural-chat-7b-v3-1,
ByteDance-Seed/Seed-Coder-8B-Base,1,1,1,0,,1.0
ByteDance-Seed/Seed-Coder-8B-Instruct,1,1,1,0,,1.0
ChrisMcCormick/deepseek-tiny-v0.1,0,0,0,0,,
CorticalStack/pastiche-crown-clown-7b-dare,31,31,17,14,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,34,34,17,17,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1,
CultriX/NeuralTrix-7B-dpo,37,37,17,20,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base,
CultriX/NeuralTrix-bf16,35,35,17,18,kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1 | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.5-16k,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,9,9,8,1,beyoru/Luna,
DeepHat/DeepHat-V1-7B,4,4,4,0,,4.75
EleutherAI/gpt-neo-1.3B,3,3,0,3,KoboldAI/GPT-Neo-2.7B-Horni-LN | PygmalionAI/pygmalion-2.7b | TheOneWhoWill/Bootstrap-LLM,
EleutherAI/polyglot-ko-3.8b,0,0,0,0,,
EleutherAI/pythia-1.4b,4,4,3,1,allenai/OLMoE-1B-7B-0924,
EleutherAI/pythia-1b,4,4,3,1,allenai/OLMoE-1B-7B-0924,
EleutherAI/pythia-2.8b,4,4,3,1,allenai/OLMoE-1B-7B-0924,
EleutherAI/pythia-6.9b,4,4,3,1,allenai/OLMoE-1B-7B-0924,
FelixChao/Sectumsempra-7B-DPO,32,32,17,15,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
FelixChao/vicuna-7B-chemical,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code,
FelixChao/vicuna-7B-physics,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,
Gensyn/Qwen2.5-1.5B-Instruct,16,16,16,0,,6.25
Gensyn/Qwen2.5-7B-Instruct,13,13,13,0,,3.846154
HuggingFaceH4/zephyr-7b-beta,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | Nexusflow/Starling-LM-7B-beta | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
HuggingFaceTB/SmolLM-135M,1,1,1,0,,10.0
HuggingFaceTB/SmolLM2-135M,1,1,1,0,,10.0
HuggingFaceTB/SmolLM3-3B,6,6,1,5,dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | allenai/Llama-3.1-Tulu-3-8B-SFT,
HuggingFaceTB/SmolLM3-3B-Base,16,16,1,15,dphn/Dolphin3.0-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | microsoft/UserLM-8b | NousResearch/Hermes-3-Llama-3.1-8B | S4nfs/Neeto-1.0-8b | gradientai/Llama-3-8B-Instruct-262k | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | bxod/Llama-3.2-1B-Instruct-uz | inference-net/Schematron-3B | askfjhaskjgh/UbermenschetienASI | acon96/Home-Llama-3.2-3B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,4,4,4,0,,3.75
Intel/neural-chat-7b-v3-1,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | Nexusflow/Starling-LM-7B-beta | CultriX/NeuralTrix-7B-dpo | berkeley-nest/Starling-LM-7B-alpha | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
Intel/neural-chat-7b-v3-3,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
Jurema-br/Jurema-7B,14,14,14,0,,3.785714
KoboldAI/GPT-Neo-2.7B-Horni-LN,3,3,0,3,PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM,
LGAI-EXAONE/EXAONE-4.0-1.2B,0,0,0,0,,
